pair,dir,signal_time,entry_time,exit_time,entry_ref,fill,sl,tp,exit,sl_dist,sl_pips,r,outcome,quality,bars,year,weekday,session
USDJPY,-1,2023-12-14 08:00:00+00:00,2023-12-14 08:15:00+00:00,2023-12-14 13:30:00+00:00,141.736,141.727,142.2040022690677,140.79999546186457,142.2070022690677,0.4680022690677117,46.800226906771165,-1.0256409013227128,loss,3,21,2023,Thursday,London
USDJPY,-1,2023-12-15 10:00:00+00:00,2023-12-15 10:15:00+00:00,2023-12-15 13:30:00+00:00,141.668,141.65800000000002,142.07515537880528,140.85368924238946,142.07815537880526,0.4071553788052766,40.715537880527656,-1.0319288425910458,loss,2,13,2023,Friday,London
USDJPY,-1,2023-12-20 14:45:00+00:00,2023-12-20 15:00:00+00:00,2023-12-20 15:15:00+00:00,143.336,143.32600000000002,143.64784561833892,142.7123087633222,143.6508456183389,0.3118456183389036,31.18456183389036,-1.0416872940823312,loss,3,1,2023,Wednesday,NY
USDJPY,-1,2023-12-21 15:45:00+00:00,2023-12-21 16:00:00+00:00,2023-12-28 15:15:00+00:00,142.164,142.15200000000002,143.0200641798844,140.4518716402312,140.4518716402312,0.8560641798844015,85.60641798844016,1.985982359404878,win,2,415,2023,Thursday,NY
USDJPY,1,2024-01-16 08:30:00+00:00,2024-01-16 08:45:00+00:00,2024-01-17 00:15:00+00:00,146.474,146.483,145.98017132070447,147.461657358591,147.461657358591,0.4938286792955059,49.382867929550585,1.9817750560521157,win,1,62,2024,Tuesday,London
USDJPY,1,2024-01-18 15:00:00+00:00,2024-01-18 15:15:00+00:00,2024-01-19 06:15:00+00:00,148.152,148.16299999999998,147.83254681305692,148.79090637388614,148.79090637388614,0.31945318694307456,31.945318694307456,1.965566159770549,win,2,60,2024,Thursday,NY
USDJPY,1,2024-02-05 08:15:00+00:00,2024-02-05 08:30:00+00:00,2024-02-06 15:00:00+00:00,148.579,148.588,148.2552367611344,149.2265264777312,148.2522367611344,0.3237632388655984,32.37632388655984,-1.0370641214303045,loss,1,122,2024,Monday,London
USDJPY,1,2024-02-13 07:15:00+00:00,2024-02-13 07:30:00+00:00,2024-02-13 11:00:00+00:00,149.612,149.62,149.4388976192437,149.95820476151258,149.43589761924372,0.17310238075629147,17.310238075629147,-1.0635462086190572,loss,2,14,2024,Tuesday,London
USDJPY,1,2024-02-16 09:30:00+00:00,2024-02-16 09:45:00+00:00,2024-02-16 13:30:00+00:00,150.275,150.28699999999998,150.13136453924986,150.56227092150027,150.56227092150027,0.14363546075013703,14.363546075013703,1.9164551710468276,win,2,15,2024,Friday,London
USDJPY,1,2024-03-01 07:15:00+00:00,2024-03-01 07:30:00+00:00,2024-03-01 08:45:00+00:00,150.442,150.453,150.32304391942452,150.67991216115095,150.67991216115095,0.1189560805754781,11.89560805754781,1.9075288968265256,win,1,5,2024,Friday,London
